response A record, cluster size
0.8.145.253,382
192.185.4.19,67
255.255.255.255,625
0.10.15.65,192
0.8.122.173,3759
0.8.164.141,956
0.8.119.252,814
0.8.144.56,12
0.8.219.222,813
0.8.145.100,1372
66.81.192.110,68
0.8.140.254,15
0.8.186.20,1
0.8.151.20,55
192.185.4.81,85
0.8.231.34,1
0.8.142.9,168
0.8.141.176,17
0.8.138.94,122
0.8.142.190,8
0.8.145.218,13
162.241.244.40,53
0.8.136.235,20
0.8.170.253,14
50.87.144.127,59
0.8.137.35,2122
0.8.130.54,257
0.8.141.45,4
0.8.139.205,49
108.167.156.226,8
162.144.176.135,45
0.8.140.241,4870
0.8.162.122,1
0.8.107.161,4515
0.8.121.83,1578
0.8.123.69,4192
0.8.129.230,7377
0.8.138.67,251
0.8.140.170,61
0.8.151.19,65
0.9.210.254,212
108.167.133.13,60
0.8.193.101,1114
0.8.138.122,348
0.8.137.116,14
0.8.146.191,82
0.8.115.10,30
0.8.140.118,192
0.8.131.114,24
0.10.20.155,357
0.8.140.50,66
0.8.117.69,1092
0.10.25.206,1
0.8.157.199,123
0.10.19.30,125
0.8.109.114,58
0.8.144.108,97
0.8.150.242,407
50.87.253.167,171
0.8.164.19,860
0.8.144.54,1414
0.8.138.13,23
0.8.110.104,1115
0.8.121.79,4036
0.8.145.7,4
108.167.189.51,48
50.87.253.233,79
0.8.109.247,3001
0.8.136.248,370
0.8.195.47,3
1.168.10.254,23
0.8.156.237,812
173.254.29.83,71
162.144.176.139,49
0.8.119.62,47
0.8.142.59,582
0.8.148.225,41
0.8.155.98,17
0.8.136.174,6
0.8.135.163,815
0.8.138.233,40
0.8.141.102,105
0.8.142.50,1
0.8.147.74,1
0.10.162.62,2
0.8.168.33,1
50.87.144.80,60
0.8.136.255,22
0.8.154.39,39
67.222.38.67,6
0.8.116.86,4
0.8.145.224,197
0.8.149.69,20
0.8.192.232,27
0.10.33.119,1
0.8.141.220,1
0.8.145.175,1
0.10.30.99,17
0.8.174.187,90
0.10.29.219,251
0.8.122.239,772
0.8.143.88,29
192.185.4.158,67
162.241.24.206,5
0.8.141.22,6
0.8.149.191,7
0.8.106.178,675
0.8.145.31,144
0.8.144.88,1
0.8.193.182,1796
0.8.145.132,1
0.8.121.245,724
0.8.145.229,1021
0.8.156.90,1058
0.8.125.21,4384
0.8.124.102,274
0.8.155.146,1
0.8.199.80,246
0.8.109.105,113
50.87.253.203,186
0.8.123.210,225
0.8.155.121,532
0.8.140.196,278
0.8.151.125,8
192.185.4.112,65
162.241.253.129,8
0.8.106.87,311
0.8.153.124,19
0.9.215.247,202
198.57.247.147,55
10.205.194.254,1
0.8.232.241,2
162.241.253.57,6
162.241.173.234,26
0.8.149.105,4
0.8.148.245,8
0.8.145.168,18
0.8.141.47,1548
0.8.143.135,69
67.222.38.64,115
0.8.142.184,698
0.8.137.60,1
0.8.124.124,1064
69.195.76.73,12
0.8.155.6,92
0.8.140.120,1126
0.10.115.213,149
0.8.149.37,31
0.8.199.111,501
0.8.158.75,21
0.8.147.27,92
0.8.149.22,92
0.8.146.176,18
0.8.156.167,2
0.8.156.127,7
0.8.170.131,1121
0.8.147.208,108
0.8.233.93,18
0.8.122.203,911
0.8.146.213,855
0.8.108.200,20
0.8.146.180,6
